x,t = 15s,t = 30s,t = 60s,t = 90s,t = 150s,t = 210s
0.00036,36.7972,42.7785,49.9986,53.8304,56.9513,57.8338
0.000364,36.7942,42.7755,49.9956,53.8274,56.9483,57.8307
0.000368,36.7912,42.7725,49.9926,53.8244,56.9453,57.8277
0.000372,36.7882,42.7694,49.9896,53.8214,56.9423,57.8247
0.000376,36.7852,42.7664,49.9866,53.8184,56.9393,57.8217
0.00038,36.7822,42.7634,49.9836,53.8154,56.9363,57.8187
0.000384,36.7792,42.7604,49.9806,53.8123,56.9333,57.8157
0.000388,36.7761,42.7574,49.9775,53.8093,56.9302,57.8127
0.000392,36.7731,42.7544,49.9745,53.8063,56.9272,57.8097
0.000396,36.7701,42.7514,49.9715,53.8033,56.9242,57.8067
0.0004,36.7671,42.7484,49.9685,53.8003,56.9212,57.8036
0.000404,36.7641,42.7454,49.9655,53.7973,56.9182,57.8006
0.000408,36.7611,42.7424,49.9625,53.7943,56.9152,57.7976
0.000412,36.7581,42.7394,49.9595,53.7913,56.9122,57.7946
0.000416,36.7551,42.7363,49.9565,53.7883,56.9092,57.7916
0.00042,36.7521,42.7333,49.9535,53.7853,56.9062,57.7886
0.000424,36.7491,42.7303,49.9505,53.7823,56.9032,57.7856
0.000428,36.7461,42.7273,49.9475,53.7793,56.9002,57.7826
0.000432,36.7431,42.7243,49.9445,53.7763,56.8972,57.7796
0.000436,36.7401,42.7213,49.9415,53.7732,56.8942,57.7766
0.00044,36.7371,42.7183,49.9384,53.7702,56.8912,57.7736
0.000444,36.7341,42.7153,49.9354,53.7672,56.8882,57.7706
0.000448,36.7311,42.7123,49.9324,53.7642,56.8851,57.7676
0.000452,36.7281,42.7093,49.9294,53.7612,56.8821,57.7646
0.000456,36.7251,42.7063,49.9264,53.7582,56.8791,57.7616
0.00046,36.7221,42.7033,49.9234,53.7552,56.8761,57.7586
0.000464,36.7191,42.7003,49.9204,53.7522,56.8731,57.7556
0.000468,36.7161,42.6973,49.9174,53.7492,56.8701,57.7526
0.000472,36.7131,42.6943,49.9144,53.7462,56.8671,57.7496
0.000476,36.7101,42.6913,49.9114,53.7432,56.8641,57.7466
0.00048,36.7071,42.6883,49.9084,53.7402,56.8611,57.7436
0.000484,36.7041,42.6853,49.9054,53.7372,56.8581,57.7406
0.000488,36.7011,42.6823,49.9024,53.7342,56.8551,57.7376
0.000492,36.6981,42.6793,49.8994,53.7312,56.8521,57.7346
0.000496,36.6951,42.6763,49.8964,53.7282,56.8491,57.7316
0.0005,36.6921,42.6733,49.8934,53.7252,56.8461,57.7286
0.000504,36.6891,42.6703,49.8904,53.7222,56.8431,57.7256
0.000508,36.6861,42.6673,49.8874,53.7192,56.8401,57.7226
0.000512,36.6831,42.6643,49.8844,53.7162,56.8371,57.7196
0.000516,36.6801,42.6613,49.8814,53.7132,56.8341,57.7166
0.00052,36.6771,42.6583,49.8784,53.7102,56.8311,57.7136
0.000524,36.6741,42.6553,49.8754,53.7072,56.8281,57.7106
0.000528,36.6712,42.6523,49.8724,53.7042,56.8252,57.7076
0.000532,36.6682,42.6493,49.8694,53.7012,56.8222,57.7046
0.000536,36.6652,42.6463,49.8665,53.6982,56.8192,57.7016
0.00054,36.6622,42.6433,49.8635,53.6953,56.8162,57.6986
0.000544,36.6592,42.6403,49.8605,53.6923,56.8132,57.6956
0.000548,36.6562,42.6373,49.8575,53.6893,56.8102,57.6926
0.000552,36.6532,42.6343,49.8545,53.6863,56.8072,57.6896
0.000556,36.6502,42.6314,49.8515,53.6833,56.8042,57.6866
0.00056,36.6472,42.6284,49.8485,53.6803,56.8012,57.6836
0.000564,36.6442,42.6254,49.8455,53.6773,56.7982,57.6806
0.000568,36.6413,42.6224,49.8425,53.6743,56.7952,57.6776
0.000572,36.6383,42.6194,49.8395,53.6713,56.7922,57.6746
0.000576,36.6353,42.6164,49.8365,53.6683,56.7892,57.6717
0.00058,36.6323,42.6134,49.8335,53.6653,56.7862,57.6687
0.000584,36.6293,42.6104,49.8305,53.6623,56.7832,57.6657
0.000588,36.6263,42.6074,49.8276,53.6593,56.7803,57.6627
0.000592,36.6233,42.6044,49.8246,53.6564,56.7773,57.6597
0.000596,36.6204,42.6014,49.8216,53.6534,56.7743,57.6567
0.0006,36.6174,42.5985,49.8186,53.6504,56.7713,57.6537
0.000604,36.6144,42.5955,49.8156,53.6474,56.7683,57.6507
0.000608,36.6114,42.5925,49.8126,53.6444,56.7653,57.6477
0.000612,36.6084,42.5895,49.8096,53.6414,56.7623,57.6448
0.000616,36.6054,42.5865,49.8066,53.6384,56.7593,57.6418
0.00062,36.6025,42.5835,49.8036,53.6354,56.7564,57.6388
0.000624,36.5995,42.5805,49.8007,53.6325,56.7534,57.6358
0.000628,36.5965,42.5775,49.7977,53.6295,56.7504,57.6328
0.000632,36.5935,42.5746,49.7947,53.6265,56.7474,57.6298
0.000636,36.5905,42.5716,49.7917,53.6235,56.7444,57.6268
0.00064,36.5875,42.5686,49.7887,53.6205,56.7414,57.6239
0.000644,36.5846,42.5656,49.7857,53.6175,56.7384,57.6209
0.000648,36.5816,42.5626,49.7827,53.6145,56.7355,57.6179
0.000652,36.5786,42.5596,49.7798,53.6116,56.7325,57.6149
0.000656,36.5756,42.5567,49.7768,53.6086,56.7295,57.6119
0.00066,36.5726,42.5537,49.7738,53.6056,56.7265,57.6089
0.000664,36.5697,42.5507,49.7708,53.6026,56.7235,57.606
0.000668,36.5667,42.5477,49.7678,53.5996,56.7205,57.603
0.000672,36.5637,42.5447,49.7649,53.5966,56.7176,57.6
0.000676,36.5607,42.5417,49.7619,53.5937,56.7146,57.597
0.00068,36.5578,42.5388,49.7589,53.5907,56.7116,57.594
0.000684,36.5548,42.5358,49.7559,53.5877,56.7086,57.591
0.000688,36.5518,42.5328,49.7529,53.5847,56.7056,57.5881
0.000692,36.5488,42.5298,49.75,53.5817,56.7027,57.5851
0.000696,36.5459,42.5268,49.747,53.5788,56.6997,57.5821
0.0007,36.5429,42.5239,49.744,53.5758,56.6967,57.5791
0.000704,36.5399,42.5209,49.741,53.5728,56.6937,57.5762
0.000708,36.5369,42.5179,49.738,53.5698,56.6907,57.5732
0.000712,36.534,42.5149,49.7351,53.5669,56.6878,57.5702
0.000716,36.531,42.512,49.7321,53.5639,56.6848,57.5672
0.00072,36.528,42.509,49.7291,53.5609,56.6818,57.5642
