x,numeric,exacte
0.000852,57.8141,57.8085
0.000856,57.8111,57.8055
0.00086,57.8082,57.8026
0.000864,57.8052,57.7996
0.000868,57.8022,57.7966
0.000872,57.7993,57.7937
0.000876,57.7963,57.7907
0.00088,57.7934,57.7878
0.000884,57.7904,57.7848
0.000888,57.7874,57.7818
0.000892,57.7845,57.7789
0.000896,57.7815,57.7759
0.0009,57.7786,57.773
0.000904,57.7756,57.77
0.000908,57.7726,57.767
0.000912,57.7697,57.7641
0.000916,57.7667,57.7611
0.00092,57.7638,57.7582
0.000924,57.7608,57.7552
0.000928,57.7579,57.7523
0.000932,57.7549,57.7493
0.000936,57.7519,57.7463
0.00094,57.749,57.7434
0.000944,57.746,57.7404
0.000948,57.7431,57.7375
0.000952,57.7401,57.7345
0.000956,57.7372,57.7316
0.00096,57.7342,57.7286
0.000964,57.7313,57.7257
0.000968,57.7283,57.7227
0.000972,57.7254,57.7198
0.000976,57.7224,57.7168
0.00098,57.7195,57.7139
0.000984,57.7165,57.7109
0.000988,57.7136,57.708
0.000992,57.7106,57.705
0.000996,57.7077,57.7021
0.001,57.7047,57.6991
0.001004,57.7018,57.6962
0.001008,57.6988,57.6932
0.001012,57.6959,57.6903
0.001016,57.6929,57.6873
0.00102,57.69,57.6844
0.001024,57.687,57.6814
0.001028,57.6841,57.6785
0.001032,57.6811,57.6755
0.001036,57.6782,57.6726
0.00104,57.6753,57.6697
0.001044,57.6723,57.6667
0.001048,57.6694,57.6638
0.001052,57.6664,57.6608
0.001056,57.6635,57.6579
0.00106,57.6605,57.6549
0.001064,57.6576,57.652
0.001068,57.6546,57.6491
0.001072,57.6517,57.6461
0.001076,57.6488,57.6432
0.00108,57.6458,57.6402
0.001084,57.6429,57.6373
0.001088,57.6399,57.6343
0.001092,57.637,57.6314
0.001096,57.6341,57.6285
0.0011,57.6311,57.6255
0.001104,57.6282,57.6226
0.001108,57.6252,57.6197
0.001112,57.6223,57.6167
0.001116,57.6194,57.6138
0.00112,57.6164,57.6108
0.001124,57.6135,57.6079
0.001128,57.6106,57.605
0.001132,57.6076,57.602
0.001136,57.6047,57.5991
0.00114,57.6018,57.5962
0.001144,57.5988,57.5932
0.001148,57.5959,57.5903
0.001152,57.593,57.5874
0.001156,57.59,57.5844
0.00116,57.5871,57.5815
0.001164,57.5842,57.5786
0.001168,57.5812,57.5756
0.001172,57.5783,57.5727
0.001176,57.5754,57.5698
0.00118,57.5724,57.5668
0.001184,57.5695,57.5639
0.001188,57.5666,57.561
0.001192,57.5636,57.5581
0.001196,57.5607,57.5551
0.0012,57.5578,57.5522
0.001204,57.5549,57.5493
0.001208,57.5519,57.5463
0.001212,57.549,57.5434
0.001216,57.5461,57.5405
0.00122,57.5431,57.5376
0.001224,57.5402,57.5346
0.001228,57.5373,57.5317
0.001232,57.5344,57.5288
0.001236,57.5314,57.5258
0.00124,57.5285,57.5229
0.001244,57.5256,57.52
0.001248,57.5227,57.5171
0.001252,57.5197,57.5142
0.001256,57.5168,57.5112
0.00126,57.5139,57.5083
0.001264,57.511,57.5054
0.001268,57.508,57.5025
0.001272,57.5051,57.4995
0.001276,57.5022,57.4966
0.00128,57.4993,57.4937
0.001284,57.4964,57.4908
0.001288,57.4934,57.4879
0.001292,57.4905,57.4849
0.001296,57.4876,57.482
0.0013,57.4847,57.4791
0.001304,57.4818,57.4762
0.001308,57.4788,57.4733
0.001312,57.4759,57.4703
0.001316,57.473,57.4674
0.00132,57.4701,57.4645
0.001324,57.4672,57.4616
0.001328,57.4643,57.4587
0.001332,57.4613,57.4558
0.001336,57.4584,57.4528
0.00134,57.4555,57.4499
0.001344,57.4526,57.447
0.001348,57.4497,57.4441
0.001352,57.4468,57.4412
0.001356,57.4439,57.4383
0.00136,57.4409,57.4354
0.001364,57.438,57.4324
0.001368,57.4351,57.4295
0.001372,57.4322,57.4266
0.001376,57.4293,57.4237
0.00138,57.4264,57.4208
0.001384,57.4235,57.4179
0.001388,57.4206,57.415
0.001392,57.4177,57.4121
0.001396,57.4147,57.4092
0.0014,57.4118,57.4063
0.001404,57.4089,57.4033
0.001408,57.406,57.4004
0.001412,57.4031,57.3975
0.001416,57.4002,57.3946
0.00142,57.3973,57.3917
0.001424,57.3944,57.3888
0.001428,57.3915,57.3859
0.001432,57.3886,57.383
0.001436,57.3857,57.3801
0.00144,57.3828,57.3772
0.001444,57.3799,57.3743
0.001448,57.377,57.3714
0.001452,57.374,57.3685
0.001456,57.3711,57.3656
0.00146,57.3682,57.3627
0.001464,57.3653,57.3598
0.001468,57.3624,57.3569
0.001472,57.3595,57.354
0.001476,57.3566,57.3511
0.00148,57.3537,57.3482
0.001484,57.3508,57.3453
0.001488,57.3479,57.3424
0.001492,57.345,57.3395
0.001496,57.3421,57.3366
0.0015,57.3392,57.3337
0.001504,57.3363,57.3308
0.001508,57.3334,57.3279
0.001512,57.3305,57.325
0.001516,57.3276,57.3221
0.00152,57.3247,57.3192
0.001524,57.3218,57.3163
0.001528,57.3189,57.3134
0.001532,57.316,57.3105
0.001536,57.3131,57.3076
0.00154,57.3103,57.3047
0.001544,57.3074,57.3018
0.001548,57.3045,57.2989
0.001552,57.3016,57.296
0.001556,57.2987,57.2931
0.00156,57.2958,57.2902
0.001564,57.2929,57.2873
0.001568,57.29,57.2844
0.001572,57.2871,57.2815
0.001576,57.2842,57.2786
0.00158,57.2813,57.2757
0.001584,57.2784,57.2729
0.001588,57.2755,57.27
0.001592,57.2726,57.2671
0.001596,57.2698,57.2642
0.0016,57.2669,57.2613
0.001604,57.264,57.2584
0.001608,57.2611,57.2555
0.001612,57.2582,57.2526
0.001616,57.2553,57.2497
0.00162,57.2524,57.2469
0.001624,57.2495,57.244
0.001628,57.2467,57.2411
0.001632,57.2438,57.2382
0.001636,57.2409,57.2353
0.00164,57.238,57.2324
0.001644,57.2351,57.2295
0.001648,57.2322,57.2267
0.001652,57.2293,57.2238
0.001656,57.2265,57.2209
0.00166,57.2236,57.218
0.001664,57.2207,57.2151
0.001668,57.2178,57.2122
0.001672,57.2149,57.2094
0.001676,57.212,57.2065
0.00168,57.2092,57.2036
0.001684,57.2063,57.2007
0.001688,57.2034,57.1978
0.001692,57.2005,57.1949
0.001696,57.1976,57.1921
0.0017,57.1948,57.1892
0.001704,57.1919,57.1863
0.001708,57.189,57.1834
0.001712,57.1861,57.1806
0.001716,57.1832,57.1777
0.00172,57.1804,57.1748
0.001724,57.1775,57.1719
0.001728,57.1746,57.169
0.001732,57.1717,57.1662
0.001736,57.1689,57.1633
0.00174,57.166,57.1604
0.001744,57.1631,57.1575
0.001748,57.1602,57.1547
0.001752,57.1574,57.1518
0.001756,57.1545,57.1489
0.00176,57.1516,57.146
0.001764,57.1487,57.1432
0.001768,57.1459,57.1403
0.001772,57.143,57.1374
0.001776,57.1401,57.1346
0.00178,57.1372,57.1317
0.001784,57.1344,57.1288
0.001788,57.1315,57.1259
0.001792,57.1286,57.1231
0.001796,57.1258,57.1202
0.0018,57.1229,57.1173
0.001804,57.12,57.1145
0.001808,57.1171,57.1116
0.001812,57.1143,57.1087
0.001816,57.1114,57.1058
0.00182,57.1085,57.103
0.001824,57.1057,57.1001
0.001828,57.1028,57.0972
0.001832,57.0999,57.0944
0.001836,57.0971,57.0915
0.00184,57.0942,57.0886
0.001844,57.0913,57.0858
0.001848,57.0885,57.0829
0.001852,57.0856,57.0801
0.001856,57.0827,57.0772
0.00186,57.0799,57.0743
0.001864,57.077,57.0715
0.001868,57.0742,57.0686
0.001872,57.0713,57.0657
0.001876,57.0684,57.0629
0.00188,57.0656,57.06
0.001884,57.0627,57.0571
0.001888,57.0598,57.0543
0.001892,57.057,57.0514
0.001896,57.0541,57.0486
0.0019,57.0513,57.0457
0.001904,57.0484,57.0428
0.001908,57.0455,57.04
0.001912,57.0427,57.0371
0.001916,57.0398,57.0343
0.00192,57.037,57.0314
0.001924,57.0341,57.0286
0.001928,57.0313,57.0257
0.001932,57.0284,57.0228
0.001936,57.0255,57.02
0.00194,57.0227,57.0171
0.001944,57.0198,57.0143
0.001948,57.017,57.0114
0.001952,57.0141,57.0086
0.001956,57.0113,57.0057
0.00196,57.0084,57.0029
0.001964,57.0056,57
0.001968,57.0027,56.9971
0.001972,56.9998,56.9943
0.001976,56.997,56.9914
0.00198,56.9941,56.9886
