t,x0,xM/2,xM
78.5,57.3927,46.6465,43.3607
79,57.4148,46.6686,43.3828
79.5,57.4365,46.6903,43.4044
80,57.4577,46.7115,43.4257
80.5,57.4784,46.7322,43.4464
81,57.4988,46.7526,43.4667
81.5,57.5187,46.7725,43.4867
82,57.5382,46.792,43.5062
82.5,57.5573,46.8111,43.5252
83,57.5759,46.8298,43.5439
83.5,57.5942,46.8481,43.5622
84,57.6122,46.866,43.5802
84.5,57.6297,46.8835,43.5977
85,57.6469,46.9007,43.6149
85.5,57.6637,46.9175,43.6317
86,57.6802,46.934,43.6482
86.5,57.6963,46.9501,43.6643
87,57.7121,46.9659,43.6801
87.5,57.7276,46.9814,43.6956
88,57.7427,46.9965,43.7107
88.5,57.7575,47.0113,43.7255
89,57.7721,47.0259,43.74
89.5,57.7863,47.0401,43.7543
90,57.8002,47.054,43.7682
90.5,57.8138,47.0676,43.7818
91,57.8272,47.081,43.7952
91.5,57.8402,47.094,43.8082
92,57.853,47.1068,43.821
92.5,57.8656,47.1194,43.8335
93,57.8778,47.1316,43.8458
93.5,57.8898,47.1436,43.8578
94,57.9016,47.1554,43.8696
94.5,57.9131,47.1669,43.8811
95,57.9244,47.1782,43.8924
95.5,57.9354,47.1892,43.9034
96,57.9462,47.2001,43.9142
96.5,57.9568,47.2106,43.9248
97,57.9672,47.221,43.9352
97.5,57.9773,47.2312,43.9453
98,57.9873,47.2411,43.9553
98.5,57.997,47.2508,43.965
99,58.0065,47.2604,43.9745
99.5,58.0159,47.2697,43.9839
100,58.025,47.2788,43.993
100.5,58.034,47.2878,44.0019
101,58.0427,47.2965,44.0107
101.5,58.0513,47.3051,44.0193
102,58.0597,47.3135,44.0277
102.5,58.0679,47.3217,44.0359
103,58.076,47.3298,44.0439
103.5,58.0838,47.3377,44.0518
104,58.0916,47.3454,44.0596
104.5,58.0991,47.3529,44.0671
105,58.1065,47.3603,44.0745
105.5,58.1138,47.3676,44.0818
106,58.1209,47.3747,44.0889
106.5,58.1278,47.3816,44.0958
107,58.1346,47.3884,44.1026
107.5,58.1413,47.3951,44.1093
108,58.1478,47.4016,44.1158
108.5,58.1542,47.408,44.1222
109,58.1604,47.4143,44.1284
109.5,58.1666,47.4204,44.1346
110,58.1726,47.4264,44.1406
110.5,58.1784,47.4322,44.1464
111,58.1842,47.438,44.1522
111.5,58.1898,47.4436,44.1578
112,58.1953,47.4491,44.1633
112.5,58.2007,47.4545,44.1687
113,58.206,47.4598,44.174
113.5,58.2112,47.465,44.1792
114,58.2163,47.4701,44.1842
114.5,58.2212,47.475,44.1892
115,58.2261,47.4799,44.1941
115.5,58.2308,47.4846,44.1988
116,58.2355,47.4893,44.2035
116.5,58.24,47.4939,44.208
117,58.2445,47.4983,44.2125
117.5,58.2489,47.5027,44.2169
118,58.2532,47.507,44.2211
118.5,58.2574,47.5112,44.2253
119,58.2615,47.5153,44.2294
119.5,58.2655,47.5193,44.2335
120,58.2694,47.5232,44.2374
120.5,58.2733,47.5271,44.2413
121,58.277,47.5308,44.245
121.5,58.2807,47.5345,44.2487
122,58.2844,47.5382,44.2523
122.5,58.2879,47.5417,44.2559
123,58.2914,47.5452,44.2594
123.5,58.2948,47.5486,44.2627
124,58.2981,47.5519,44.2661
124.5,58.3013,47.5551,44.2693
125,58.3045,47.5583,44.2725
125.5,58.3077,47.5615,44.2756
126,58.3107,47.5645,44.2787
126.5,58.3137,47.5675,44.2817
127,58.3166,47.5704,44.2846
127.5,58.3195,47.5733,44.2875
128,58.3223,47.5761,44.2903
128.5,58.3251,47.5789,44.2931
129,58.3278,47.5816,44.2957
129.5,58.3304,47.5842,44.2984
130,58.333,47.5868,44.301
130.5,58.3355,47.5893,44.3035
131,58.338,47.5918,44.306
131.5,58.3404,47.5942,44.3084
132,58.3428,47.5966,44.3108
132.5,58.3451,47.5989,44.3131
133,58.3474,47.6012,44.3154
133.5,58.3496,47.6034,44.3176
134,58.3518,47.6056,44.3198
134.5,58.3539,47.6077,44.3219
135,58.356,47.6098,44.324
135.5,58.3581,47.6119,44.3261
136,58.3601,47.6139,44.3281
136.5,58.362,47.6159,44.33
137,58.364,47.6178,44.332
137.5,58.3659,47.6197,44.3338
138,58.3677,47.6215,44.3357
138.5,58.3695,47.6233,44.3375
139,58.3713,47.6251,44.3393
139.5,58.373,47.6268,44.341
140,58.3747,47.6285,44.3427
140.5,58.3764,47.6302,44.3443
141,58.378,47.6318,44.346
141.5,58.3796,47.6334,44.3476
142,58.3811,47.6349,44.3491
142.5,58.3827,47.6365,44.3506
143,58.3842,47.638,44.3521
143.5,58.3856,47.6394,44.3536
144,58.3871,47.6409,44.355
144.5,58.3885,47.6423,44.3564
145,58.3898,47.6436,44.3578
145.5,58.3912,47.645,44.3592
146,58.3925,47.6463,44.3605
146.5,58.3938,47.6476,44.3618
147,58.395,47.6488,44.363
147.5,58.3963,47.6501,44.3643
148,58.3975,47.6513,44.3655
148.5,58.3987,47.6525,44.3667
149,58.3998,47.6536,44.3678
149.5,58.401,47.6548,44.369
150,58.4021,47.6559,44.3701
150.5,58.4032,47.657,44.3712
151,58.4042,47.658,44.3722
151.5,58.4053,47.6591,44.3733
152,58.4063,47.6601,44.3743
152.5,58.4073,47.6611,44.3753
153,58.4083,47.6621,44.3763
153.5,58.4093,47.6631,44.3772
154,58.4102,47.664,44.3782
154.5,58.4111,47.6649,44.3791
155,58.412,47.6658,44.38
155.5,58.4129,47.6667,44.3809
156,58.4138,47.6676,44.3817
156.5,58.4146,47.6684,44.3826
157,58.4154,47.6692,44.3834
157.5,58.4162,47.6701,44.3842
158,58.417,47.6708,44.385
158.5,58.4178,47.6716,44.3858
159,58.4186,47.6724,44.3866
159.5,58.4193,47.6731,44.3873
160,58.4201,47.6739,44.388
160.5,58.4208,47.6746,44.3888
161,58.4215,47.6753,44.3895
161.5,58.4222,47.676,44.3901
162,58.4228,47.6766,44.3908
162.5,58.4235,47.6773,44.3915
163,58.4241,47.6779,44.3921
163.5,58.4248,47.6786,44.3927
164,58.4254,47.6792,44.3934
164.5,58.426,47.6798,44.394
165,58.4266,47.6804,44.3946
165.5,58.4272,47.681,44.3951
166,58.4277,47.6815,44.3957
166.5,58.4283,47.6821,44.3963
167,58.4288,47.6826,44.3968
167.5,58.4294,47.6832,44.3973
168,58.4299,47.6837,44.3979
168.5,58.4304,47.6842,44.3984
169,58.4309,47.6847,44.3989
169.5,58.4314,47.6852,44.3994
170,58.4319,47.6857,44.3998
170.5,58.4323,47.6861,44.4003
171,58.4328,47.6866,44.4008
171.5,58.4332,47.687,44.4012
172,58.4337,47.6875,44.4017
172.5,58.4341,47.6879,44.4021
173,58.4345,47.6883,44.4025
173.5,58.4349,47.6887,44.4029
174,58.4353,47.6892,44.4033
174.5,58.4357,47.6896,44.4037
175,58.4361,47.6899,44.4041
175.5,58.4365,47.6903,44.4045
176,58.4369,47.6907,44.4049
176.5,58.4372,47.6911,44.4052
177,58.4376,47.6914,44.4056
177.5,58.438,47.6918,44.4059
178,58.4383,47.6921,44.4063
178.5,58.4386,47.6924,44.4066
179,58.439,47.6928,44.4069
179.5,58.4393,47.6931,44.4073
180,58.4396,47.6934,44.4076
180.5,58.4399,47.6937,44.4079
181,58.4402,47.694,44.4082
181.5,58.4405,47.6943,44.4085
182,58.4408,47.6946,44.4088
182.5,58.4411,47.6949,44.4091
183,58.4414,47.6952,44.4093
183.5,58.4416,47.6954,44.4096
184,58.4419,47.6957,44.4099
184.5,58.4421,47.696,44.4101
185,58.4424,47.6962,44.4104
185.5,58.4427,47.6965,44.4106
186,58.4429,47.6967,44.4109
186.5,58.4431,47.6969,44.4111
187,58.4434,47.6972,44.4114
187.5,58.4436,47.6974,44.4116
188,58.4438,47.6976,44.4118
188.5,58.444,47.6979,44.412
189,58.4443,47.6981,44.4122
189.5,58.4445,47.6983,44.4125
190,58.4447,47.6985,44.4127
190.5,58.4449,47.6987,44.4129
191,58.4451,47.6989,44.4131
191.5,58.4453,47.6991,44.4133
192,58.4455,47.6993,44.4134
192.5,58.4456,47.6995,44.4136
193,58.4458,47.6996,44.4138
193.5,58.446,47.6998,44.414
194,58.4462,47.7,44.4142
194.5,58.4464,47.7002,44.4143
195,58.4465,47.7003,44.4145
195.5,58.4467,47.7005,44.4147
196,58.4468,47.7007,44.4148
196.5,58.447,47.7008,44.415
197,58.4472,47.701,44.4151
197.5,58.4473,47.7011,44.4153
198,58.4475,47.7013,44.4154
198.5,58.4476,47.7014,44.4156
199,58.4477,47.7015,44.4157
199.5,58.4479,47.7017,44.4159
200,58.448,47.7018,44.416
200.5,58.4481,47.702,44.4161
201,58.4483,47.7021,44.4163
201.5,58.4484,47.7022,44.4164
202,58.4485,47.7023,44.4165
202.5,58.4487,47.7025,44.4166
203,58.4488,47.7026,44.4168
203.5,58.4489,47.7027,44.4169
204,58.449,47.7028,44.417
204.5,58.4491,47.7029,44.4171
205,58.4492,47.703,44.4172
205.5,58.4493,47.7031,44.4173
206,58.4494,47.7032,44.4174
206.5,58.4495,47.7033,44.4175
207,58.4496,47.7034,44.4176
207.5,58.4497,47.7035,44.4177
